USER_ID	COMMENT	ALBUM_ID
31	Comment13	198
31	Comment6	165
31	Comment4	50
31	Comment9	110
31	Comment2	202
32	Comment14	45
32	Comment9	43
32	Comment8	161
32	Comment13	231
32	Comment7	31
32	Comment15	198
32	Comment7	166
33	Comment8	169
33	Comment3	79
33	Comment7	229
33	Comment4	160
33	Comment5	109
34	Comment9	136
34	Comment1	144
34	Comment10	42
34	Comment8	189
34	Comment1	51
34	Comment3	21
35	Comment5	238
35	Comment3	129
35	Comment7	143
35	Comment11	168
36	Comment5	60
37	Comment15	96
37	Comment1	189
37	Comment2	88
37	Comment5	84
37	Comment14	125
38	Comment6	54
39	Comment8	215
41	Comment6	5
41	Comment14	193
41	Comment6	55
41	Comment5	82
41	Comment5	171
41	Comment13	129
41	Comment11	243
42	Comment3	60
42	Comment7	81
44	Comment3	174
44	Comment12	34
44	Comment1	84
44	Comment7	23
44	Comment8	54
45	Comment15	153
45	Comment15	186
45	Comment10	110
45	Comment4	117
45	Comment14	193
46	Comment14	74
46	Comment11	91
48	Comment15	153
48	Comment5	95
48	Comment12	190
49	Comment15	208
49	Comment10	181
50	Comment2	42
50	Comment1	39
51	Comment10	238
51	Comment2	157
52	Comment10	239
52	Comment1	207
52	Comment7	191
52	Comment11	44
54	Comment10	108
54	Comment8	59
54	Comment6	76
54	Comment4	211
54	Comment8	192
55	Comment12	101
55	Comment10	122
55	Comment5	168
56	Comment9	148
56	Comment4	95
57	Comment3	240
57	Comment4	187
58	Comment11	144
58	Comment15	215
58	Comment1	93
59	Comment13	241
59	Comment12	149
59	Comment10	99
59	Comment9	56
59	Comment4	44
59	Comment3	130
59	Comment15	129
60	Comment7	42
60	Comment8	65
61	Comment10	61
61	Comment8	137
61	Comment7	242
61	Comment3	233
62	Comment4	98
63	Comment15	131
63	Comment11	143
64	Comment3	234
64	Comment3	169
65	Comment11	180
65	Comment3	186
65	Comment10	73
65	Comment10	243
66	Comment13	157
66	Comment4	124
66	Comment11	205
66	Comment10	72
68	Comment12	76
69	Comment14	171
69	Comment10	19
69	Comment6	230
71	Comment10	32
71	Comment13	30
71	Comment9	129
72	Comment8	145
73	Comment12	93
73	Comment15	92
74	Comment5	66
74	Comment11	92
74	Comment8	110
74	Comment12	127
74	Comment7	208
75	Comment4	2
76	Comment3	110
78	Comment3	177
79	Comment5	228
79	Comment2	86
79	Comment3	27
79	Comment1	3
79	Comment4	83
79	Comment9	54
79	Comment6	5
80	Comment5	139
80	Comment7	18
80	Comment15	123
80	Comment3	184
80	Comment5	38
81	Comment15	10
81	Comment11	118
81	Comment15	26
81	Comment8	89
81	Comment4	53
81	Comment14	51
82	Comment14	182
82	Comment1	137
82	Comment1	61
82	Comment9	140
82	Comment5	58
82	Comment12	212
83	Comment6	18
83	Comment11	27
83	Comment5	44
84	Comment11	11
84	Comment7	74
84	Comment15	229
84	Comment3	208
84	Comment10	199
84	Comment13	178
85	Comment15	237
85	Comment1	21
85	Comment11	96
85	Comment15	46
86	Comment4	53
86	Comment9	154
86	Comment7	214
86	Comment1	193
86	Comment13	207
86	Comment4	191
86	Comment12	237
88	Comment7	111
88	Comment3	124
88	Comment1	8
88	Comment10	9
89	Comment6	109
89	Comment5	43
89	Comment15	10
89	Comment9	92
89	Comment5	62
90	Comment4	81
90	Comment12	73
90	Comment3	32
90	Comment8	185
90	Comment10	109
90	Comment8	18
91	Comment14	158
91	Comment3	135
91	Comment8	3
92	Comment4	73
92	Comment13	35
92	Comment9	215
92	Comment1	147
92	Comment7	118
94	Comment11	184
94	Comment8	58
94	Comment12	136
94	Comment3	147
94	Comment14	242
94	Comment15	83
97	Comment11	86
97	Comment4	148
97	Comment11	125
98	Comment14	242
98	Comment9	8
98	Comment9	242
98	Comment3	3
98	Comment4	20
98	Comment2	140
99	Comment11	203
99	Comment4	141
99	Comment12	54
99	Comment1	103
100	Comment11	133
100	Comment6	156
100	Comment3	185
100	Comment2	83
100	Comment14	177
100	Comment11	124
1	commment	3
