OWNER	NAME	DESCRIPTION	START_TIME	END_TIME	LOCATION	VENUE	PRIVACY
29	Event11	null	2020-10-20 20:13:00	2020-10-20 21:13:00	12	375	4
30	Event7	null	2020-10-22 21:17:00	2020-10-22 22:17:00	10	233	2
31	Event8	null	2020-10-26 15:36:00	2020-10-26 16:36:00	8	173	1
31	Event5	null	2020-10-18 17:29:00	2020-10-18 18:29:00	11	56	4
32	Event14	null	2020-10-25 18:32:00	2020-10-25 19:32:00	17	231	1
32	Event1	null	2020-10-24 20:22:00	2020-10-24 21:22:00	10	324	2
33	Event3	null	2020-10-20 20:52:00	2020-10-20 21:52:00	16	152	2
33	Event10	null	2020-10-19 15:54:00	2020-10-19 16:54:00	7	247	4
34	Event14	null	2020-10-29 20:25:00	2020-10-29 21:25:00	18	703	4
34	Event3	null	2020-10-28 11:16:00	2020-10-28 12:16:00	11	69	4
37	Event15	null	2020-10-20 19:58:00	2020-10-20 20:58:00	12	685	1
37	Event4	null	2020-10-17 11:34:00	2020-10-17 12:34:00	5	678	3
38	Event13	null	2020-10-23 11:28:00	2020-10-23 12:28:00	2	626	2
38	Event3	null	2020-10-28 21:30:00	2020-10-28 22:30:00	12	237	2
39	Event15	null	2020-10-16 22:47:00	2020-10-16 23:47:00	10	612	4
39	Event8	null	2020-10-16 11:52:00	2020-10-16 12:52:00	15	11	1
40	Event10	null	2020-10-23 22:54:00	2020-10-23 23:54:00	1	303	2
40	Event14	null	2020-10-11 21:34:00	2020-10-11 22:34:00	2	630	3
41	Event12	null	2020-10-27 12:31:00	2020-10-27 13:31:00	1	310	1
42	Event1	null	2020-10-11 21:13:00	2020-10-11 22:13:00	7	94	4
42	Event10	null	2020-10-16 22:27:00	2020-10-16 23:27:00	15	66	4
43	Event1	null	2020-10-18 13:43:00	2020-10-18 14:43:00	3	536	1
43	Event15	null	2020-10-19 21:17:00	2020-10-19 22:17:00	2	117	1
46	Event12	null	2020-10-20 21:23:00	2020-10-20 22:23:00	15	647	3
46	Event7	null	2020-10-27 20:24:00	2020-10-27 21:24:00	19	215	2
47	Event5	null	2020-10-15 14:15:00	2020-10-15 15:15:00	11	371	2
47	Event10	null	2020-10-13 11:11:00	2020-10-13 12:11:00	17	146	4
48	Event14	null	2020-10-16 10:37:00	2020-10-16 11:37:00	2	246	2
50	Event10	null	2020-10-28 13:33:00	2020-10-28 14:33:00	17	654	2
51	Event8	null	2020-10-27 19:39:00	2020-10-27 20:39:00	13	46	3
52	Event9	null	2020-10-19 20:36:00	2020-10-19 21:36:00	6	584	4
52	Event3	null	2020-10-15 18:47:00	2020-10-15 19:47:00	15	64	2
53	Event8	null	2020-10-15 15:11:00	2020-10-15 16:11:00	17	268	2
54	Event4	null	2020-10-23 21:54:00	2020-10-23 22:54:00	14	208	2
54	Event12	null	2020-10-15 11:11:00	2020-10-15 12:11:00	3	5	1
55	Event9	null	2020-10-14 17:38:00	2020-10-14 18:38:00	6	592	2
56	Event5	null	2020-10-13 19:15:00	2020-10-13 20:15:00	9	332	3
58	Event14	null	2020-10-29 13:56:00	2020-10-29 14:56:00	6	208	2
59	Event11	null	2020-10-14 18:21:00	2020-10-14 19:21:00	15	102	3
62	Event11	null	2020-10-26 17:53:00	2020-10-26 18:53:00	4	509	1
62	Event9	null	2020-10-25 21:45:00	2020-10-25 22:45:00	2	10	2
63	Event4	null	2020-10-23 15:40:00	2020-10-23 16:40:00	17	282	2
63	Event5	null	2020-10-20 18:34:00	2020-10-20 19:34:00	11	598	3
66	Event4	null	2020-10-15 10:26:00	2020-10-15 11:26:00	11	664	1
66	Event9	null	2020-10-25 13:52:00	2020-10-25 14:52:00	16	395	1
68	Event8	null	2020-10-25 14:46:00	2020-10-25 15:46:00	19	575	1
73	Event4	null	2020-10-20 17:22:00	2020-10-20 18:22:00	5	6	1
75	Event1	null	2020-10-19 22:29:00	2020-10-19 23:29:00	5	263	3
76	Event9	null	2020-10-28 17:19:00	2020-10-28 18:19:00	10	248	1
78	Event1	null	2020-10-12 14:37:00	2020-10-12 15:37:00	14	94	2
80	Event9	null	2020-10-21 21:37:00	2020-10-21 22:37:00	4	339	4
80	Event1	null	2020-10-19 17:47:00	2020-10-19 18:47:00	7	680	4
81	Event6	null	2020-10-17 14:20:00	2020-10-17 15:20:00	13	234	4
81	Event6	null	2020-10-20 16:11:00	2020-10-20 17:11:00	19	261	1
83	Event13	null	2020-10-25 16:29:00	2020-10-25 17:29:00	4	684	1
83	Event11	null	2020-10-25 21:23:00	2020-10-25 22:23:00	8	421	4
84	Event4	null	2020-10-27 14:22:00	2020-10-27 15:22:00	7	100	4
84	Event13	null	2020-10-29 10:45:00	2020-10-29 11:45:00	6	505	1
85	Event12	null	2020-10-26 10:53:00	2020-10-26 11:53:00	16	131	4
87	Event8	null	2020-10-27 17:29:00	2020-10-27 18:29:00	6	580	4
87	Event10	null	2020-10-17 13:33:00	2020-10-17 14:33:00	8	250	2
89	Event7	null	2020-10-11 16:58:00	2020-10-11 17:58:00	14	337	3
91	Event11	null	2020-10-24 19:56:00	2020-10-24 20:56:00	2	273	1
91	Event11	null	2020-10-12 18:46:00	2020-10-12 19:46:00	11	268	1
92	Event14	null	2020-10-20 22:39:00	2020-10-20 23:39:00	14	639	1
93	Event10	null	2020-10-25 11:51:00	2020-10-25 12:51:00	18	488	3
94	Event13	null	2020-10-11 16:48:00	2020-10-11 17:48:00	3	75	2
94	Event1	null	2020-10-12 17:57:00	2020-10-12 18:57:00	16	327	1
98	Event7	null	2020-10-19 19:20:00	2020-10-19 20:20:00	4	509	3
98	Event12	null	2020-10-22 13:58:00	2020-10-22 14:58:00	3	412	3
100	Event6	null	2020-10-22 20:39:00	2020-10-22 21:39:00	18	46	3
7	Event E1	null	2020-12-12 20:20:00	2020-12-12 20:25:00	7	404	1
7	Event E2	null	2020-12-12 20:20:00	2020-12-12 20:25:00	9	27	3
7	Event E3	null	2020-12-12 20:20:00	2020-12-12 20:25:00	14	428	4
71	Event E4	null	2010-12-01 18:00:00	2010-12-01 19:00:00	5	1	1
71	Event E5	null	2010-12-01 15:00:00	2010-12-01 16:00:00	6	609	3
71	Event E6	null	2010-12-01 18:00:00	2010-12-01 19:00:00	7	609	4
71	Event E7	null	2010-12-02 18:00:00	2010-12-02 19:00:00	8	1	4
4	Event E8	null	2010-12-01 18:00:00	2010-12-01 19:00:00	5	1	1
4	Event E9	null	2010-12-01 15:00:00	2010-12-01 16:00:00	6	609	3
4	Event E10	null	2010-12-01 18:00:00	2010-12-01 19:00:00	7	609	4
4	Event E11	null	2010-12-02 18:00:00	2010-12-02 19:00:00	8	1	4
10	Event E12	null	2010-12-01 18:00:00	2010-12-01 19:00:00	5	1	1
10	Event E13	null	2010-12-01 15:00:00	2010-12-01 16:00:00	6	609	3
10	Event E14	null	2010-12-01 18:00:00	2010-12-01 19:00:00	7	609	4
10	Event E15	null	2010-12-02 18:00:00	2010-12-02 19:00:00	8	1	4
