USER_ID	MESSAGE	DESCRIPTION	LENGTH	PRIVACY
77	Video4	null	null	3
77	Video15	null	null	1
77	Video14	null	null	3
78	Video10	null	null	1
78	Video11	null	null	1
78	Video8	null	null	2
79	Video7	null	null	3
79	Video13	null	null	3
79	Video10	null	null	3
79	Video6	null	null	2
81	Video10	null	null	1
81	Video10	null	null	3
81	Video10	null	null	3
82	Video12	null	null	1
82	Video15	null	null	3
82	Video8	null	null	3
82	Video11	null	null	4
83	Video4	null	null	1
83	Video11	null	null	4
83	Video9	null	null	3
83	Video7	null	null	1
83	Video12	null	null	3
83	Video7	null	null	3
84	Video2	null	null	2
84	Video5	null	null	1
84	Video6	null	null	3
84	Video10	null	null	2
85	Video4	null	null	4
85	Video12	null	null	3
85	Video10	null	null	3
85	Video13	null	null	2
85	Video8	null	null	3
85	Video15	null	null	2
85	Video2	null	null	1
86	Video2	null	null	4
86	Video2	null	null	2
87	Video12	null	null	4
87	Video13	null	null	1
87	Video6	null	null	2
87	Video2	null	null	3
87	Video11	null	null	2
89	Video7	null	null	3
89	Video15	null	null	1
89	Video13	null	null	3
89	Video4	null	null	1
89	Video11	null	null	2
89	Video10	null	null	2
90	Video7	null	null	4
90	Video10	null	null	2
90	Video15	null	null	1
90	Video11	null	null	3
90	Video4	null	null	3
90	Video15	null	null	4
91	Video7	null	null	2
91	Video15	null	null	3
92	Video9	null	null	2
93	Video9	null	null	2
93	Video14	null	null	1
93	Video1	null	null	1
93	Video15	null	null	4
93	Video3	null	null	4
93	Video15	null	null	2
94	Video9	null	null	4
94	Video3	null	null	1
94	Video1	null	null	1
94	Video4	null	null	3
94	Video8	null	null	1
94	Video14	null	null	4
94	Video4	null	null	1
95	Video11	null	null	4
95	Video1	null	null	4
95	Video5	null	null	2
95	Video15	null	null	4
95	Video13	null	null	1
95	Video14	null	null	3
95	Video5	null	null	3
96	Video5	null	null	3
96	Video11	null	null	2
96	Video5	null	null	3
96	Video11	null	null	1
96	Video9	null	null	1
97	Video11	null	null	1
98	Video15	null	null	1
98	Video14	null	null	3
98	Video12	null	null	4
98	Video11	null	null	4
99	Video12	null	null	3
99	Video13	null	null	1
99	Video14	null	null	3
99	Video14	null	null	3
100	Video14	null	null	3
100	Video13	null	null	1
101	asd	asd	9480	1
101	qwe	qwe	3918	1
101	asd	asd	6177	1
1	as	as	5753	3
1	asd	asd	3157	1
