USER_ID	COMMENT	VIDEO_ID
86	Comment12	159
86	Comment5	37
86	Comment10	278
86	Comment15	179
87	Comment8	363
87	Comment9	309
88	Comment2	366
88	Comment11	181
88	Comment13	172
89	Comment1	76
89	Comment3	35
89	Comment7	153
89	Comment13	252
89	Comment10	197
89	Comment6	59
90	Comment15	249
91	Comment1	157
91	Comment8	368
91	Comment1	316
91	Comment5	174
91	Comment5	229
91	Comment2	287
92	Comment5	142
92	Comment2	69
94	Comment8	180
94	Comment8	57
95	Comment2	191
96	Comment4	201
96	Comment9	280
96	Comment15	163
96	Comment5	119
97	Comment12	338
97	Comment3	316
97	Comment6	282
99	Comment8	14
99	Comment11	157
99	Comment15	35
99	Comment12	180
