USER_ID	PHOTO_ID
83	175
83	537
84	528
84	214
84	133
84	35
84	47
84	141
84	478
84	29
85	423
85	3
85	504
85	232
85	382
85	208
85	299
85	91
85	457
85	201
85	471
85	463
85	116
85	39
85	288
85	536
86	209
86	73
86	229
86	75
86	503
86	257
86	431
86	71
86	134
86	282
86	383
86	164
87	343
87	239
87	404
87	379
87	444
87	163
87	320
87	285
87	274
87	359
87	497
87	37
87	115
88	199
88	99
88	268
88	106
88	291
88	504
88	101
89	41
89	120
89	295
89	313
89	433
89	62
89	499
89	139
89	265
89	525
89	486
89	352
89	13
89	478
89	240
89	500
89	221
89	492
89	155
90	318
90	122
90	51
90	465
90	518
90	108
90	134
90	318
90	416
90	403
91	194
91	286
91	93
91	124
91	331
91	161
91	311
91	228
91	212
91	117
91	534
91	419
91	123
91	9
91	91
91	529
92	114
92	523
93	143
93	333
93	104
93	446
93	312
93	227
93	182
93	40
93	370
93	338
93	234
93	510
93	413
93	265
93	91
93	250
93	62
93	80
93	464
94	119
94	444
94	429
94	536
94	195
94	468
94	19
94	203
94	330
94	152
94	63
95	59
95	105
95	339
95	391
96	431
96	371
96	414
96	517
96	32
97	250
97	490
97	471
97	15
97	499
97	195
97	128
97	449
97	345
98	463
98	15
98	288
98	128
98	163
98	236
98	522
98	321
98	282
98	131
98	370
98	102
98	504
98	370
99	341
99	48
99	114
99	100
99	292
99	377
99	21
99	547
99	519
99	533
99	307
99	379
99	517
99	483
100	247
100	180
100	400
100	47
100	221
100	530
1	3
1	480
